text,labels
1 . Penyidik sejak tanggal 7 Mei 2019 sampai dengan tanggal 26 Mei 2019 ; ,O O O O O O O O O O O O O O O 
2 . Penyidik Perpanjangan Oleh Penuntut Umum sejak tanggal 27 Mei 2019 sampai dengan tanggal 5 Juli 2019 ; ,O O O O O O O O O O O O O O O O O O O 
3 . Penuntut Umum sejak tanggal 4 Juli 2019 sampai dengan tanggal 23 Juli 2019 ; ,O O O O O O O O O O O O O O O O 
4 . Hakim Pengadilan Negeri sejak tanggal 16 Juli 2019 sampai dengan tanggal 14 Agustus 2019 ; ,O O O O O O O O O O O O O O O O O 
"5 . Perpanjangan Penahanan oleh Wakil Ketua Pengadilan Negeri Jakarta Utara sejak tanggal 15 Agustus 2019 sampai dengan tanggal 13 Oktober 2019 Terdakwa didampingi oleh Penasihat yang bernama : M . Ali Syaifudin , S . H . Penasihat Hukum POSBAKUMADIN yang beralamat di Pengadilan Negeri Jakarta Utara , berdasarkan Penetapan No . 826 / Pid . Sus / 2019 / PN . Jkt . Utr . , tanggal 25 Juli 2019 ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN O O O O O O 
Pengadilan Negeri tersebut ; ,O O O O 
Setelah membaca : ,O O O 
"Penetapan Ketua Pengadilan Negeri Jakarta Utara No . 826 / Pid . Sus / 2019 / PN . Jkt . Utr . , tanggal 16 Juli 2019 tentang penunjukan Majelis Hakim ; ",O O O O O O O O B_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN O O O O O O O O O O 
Penetapan Majelis Hakim Nomor . 826 / Pen . Pid / 2019 / PN . Jkt . Utr . tanggal 17 Juli 2019 tentang Hari Sidang ; ,O O O O O B_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN O O O O O O O O 
Berkas perkara dan surat - surat lain yang bersangkutan ; ,O O O O O O O O O O 
"Setelah mendengar keterangan saksi - saksi Penuntut Umum , dan Terdakwa serta memperhatikan barang bukti yang diajukan dipersidangan ; ",O O O O O O O O O O O O O O O O O O O 
; ,O 
Setelah mendengar pembacaan tuntutan pidana yang diajukan oleh Penuntut Umum yang pada pokoknya sebagai berikut : ,O O O O O O O O O O O O O O O O 
"1 . Menyatakan terdakwa UJANG SELAMET alias KEBO bin HADIYAT , terbukti bersalah secara sah menurut hukum melakukan tindak pidana Narkotika sebagaimana diatur dalam Pasal 114 ayat ( 1 ) UU RI No . 35 Tahun 2009 tentang Narkotika ; ",O O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O B_CRIA O O O B_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV O 
"2 . Menjatuhkan pidana terhadap terdakwa UJANG SELAMET alias KEBO bin HADIYAT berupa pidana penjara selama 8 ( delapan ) Tahun , 6 ( enam ) Bulan dikurangi selama terdakwa berada dalam tahanan dengan perintahuntuk tetap ditahan ; ",O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O B_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA O O O O O O O O O O O 
"3 . Denda sebesar Rp 1 . 0 . 0 . 0 , - ( satu milyar rupiah ) dengan ketentuan apabila tidak dibayar diganti dengan pidana penjara selama 1 ( satu ) Tahun ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
4 . Menyatakan Barang Bukti Berupa : ,O O O O O O O 
"1 ) 5 ( lima ) paket plastik klip narkotika jenis kristal putih atau shabu dengan berat brutto 4 , 63 gram , Dengan perincian netto : ",O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"1 ( satu ) bungkus plastik klip berisikan kristal warna putih dengan berat netto 1 , 9926 gram ( dengan sisa labkrim berat netto 1 , 6264 gram ) dan 4 ( empat ) bungkus plastik klip masing - masing berisikan kristal warna putih dengan berat netto seluruhnya 1 , 6962 gram ( dengan sisa labkrim berat netto 1 , 6264 gram ) 2 ) 1 ( satu ) buah hp merk Polytron warna putih ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
3 ) 1 ( satu ) buah hp merk Xiaomi warna hitam . Dirampas untuk dimusnahkan ; ,O O O O O O O O O O O O O O O O O 
"5 . Menetapkan supayaterdakwa dibebani membayar biaya perkara sebesar Rp 5 . 0 , - ( lima ribu rupiah ) ; ",O O O O O O O O O O O O O O O O O O O O O 
"Menimbang , bahwa terhadap tuntutan pidana Penuntut Umum tersebut , terdakwa dan Penasihat Hukumnya secara tertulis yang pada pokoknya mohon keringanan hukuman ; ",O O O O O O O O O O O O O O O O O O O O O O O 
"Menimbang , bahwa Terdakwa diajukan kepersidangan oleh Penuntut Umum karena telah didakwa dengan dakwaan sebagai berikut : ",O O O O O O O O O O O O O O O O O 
Kesatu : ,O O 
"Bahwa ia terdakwa UJANG SELAMET alias KEBO bin HADIYAT , pada hari Minggu 5 Mei 2019 , sekira pukul 17 . 30 WIB atau setidak - tidaknya pada bulan Mei 2019 atau setidak - tidaknya pada waktu - waktu lain pada tahun 2019 , bertempat di Jalan Cilincing Baru No . 24 RT . 1 / 2 Kel . Kalibaru Kec . Cilincing , Jakarta Utara atau setidak - tidaknya di suatu tempat yang masih termasuk dalam daerah hukum Pengadilan Negeri Jakarta Utara , dengan tanpa hak atau melawan hukum menawarkan untuk dijual , menjual , membeli , menerima , menjadi perantara dalam jual beli , menukar , atau menyerahkan Narkotika Golongan I , yang dilakukan terdakwa dengan cara sebagai berikut : ",O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"- Berawal pada hari Minggu tanggal 5 Mei 2019 sekira jam 16 . 30 WIB dari informasi yang didapatkan oleh saksi SAIFUL MUKHIS , SH . , saksi SEPTIAN INDRAWAN dan saksi LEONARDO DAVINSI LASUT yang merupakan anggota Satnarkoba Polres Jakarta Utara yang mana informasi yang didapat menyebutkan maraknya peredaran narkotika yang dilakukan oleh seorang laki - laki berikut ciri - cirinya di sekitar Jalan Cilincing Kec . Cilincing Jakarta Utara ; ",O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O B_DEFN I_DEFN O O B_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Selanjutnya atas informasi tersebut dilakukan penyelidikan di daerah sekitar Jalan Cilincing Baru RT . 1 / 2 Kel . Kalibaru Kec . Cilincing , Jakarta Utara yang kemudian sekira jam 17 . 30 WIB berhasil dilakukan penangkapan terhadap terdakwa UJANG SELAMET alias KEBO di Jalan Cilincing Baru No . 24 RT . 1 / 2 Kel . Kalibaru Kec . Cilincing , Jakarta Utara ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O 
"- Bahwa dari penangkapan tersebut selanjutnya dilakukan penggeledahan yang didapat barang bukti berupa 5 ( lima ) paket plastik klip narkotika jenis kristal putih atau shabu dengan berat brutto 4 , 63 gram yang disimpan dari dalam tempat permen yang dilakban hitam yang disita dari saku celana depan sebelah kiri yang dikenakan oleh terdakwa UJANG SELAMET alias KEBO . Selain barang bukti narkotika kemudian disita barang bukti berupa 1 ( satu ) buah HP merk Polytron berikut simcard dan 1 ( satu ) buah HP merk Xiaomi warna hitam berikut simcard milik terdakwa UJANG SELAMET alias KEBO ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN O 
"- Bahwa berawal terdakwa UJANG SELAMET alias KEBO mendapatkan narkotika jenis shabu tersebut dari OM PEI ( belum tertangkap ) yang telah memberikan 40 gram narkotika jenis shabu dengan sistem laku bayar . Kemudian OM PEI mengantarkan narkotika tersebut sebanyak 12 gram kepada terdakwa UJANG SELAMET alias KEBO lalu menjualnya kepada Sdr . MUHAMAD SLAMET alias KENTUNG bin THOPIK ( disidangkan dalam berkas perkara terpisah ) . Kemudian terdakwa UJANG SELAMET alias KEBO kembali diperintahuntuk mengantarkan narkotika jenis shabu kepada seseorang di Jl . Malpinas Jalan Baru Cilincing Jakarta Utara dan saat itu jatah terdakwa UJANG SELAMET alias KEBO sebanyak 20 gram sudah laku terjual sebanyak 15 gram . Dalam penjualannya terdakwa UJANG SELAMET menjual narkotika jenis shabu dengan harga per gram adalah Rp . 1 . 200 . 0 , ( satu juta dua ratus ribu rupiah ) dan terdakwa UJANG SELAMET alias KEBO setor kepada OM PEI per gram Rp . 900 . 0 , - ( sembilan ratus ribu rupiah ) sehingga terdakwa UJANG SELAMET alias KEBO mendapatkan keuntungan per gram Rp . 300 . 0 , - ( tiga ratus ribu rupiah ) atau untuk 15 gram terdakwa mendapatkan keuntungan sebesar Rp . 4 . 500 . 0 , - ( empat juta lima ratus ribu rupiah ) ; ",O O O O B_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN O O O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O B_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"- Bahwa terhadap barang bukti yang ditemukan tersebut berdasarkan Berita Acara Pemeriksaan Laboratoris Kriminalistik No . Lab : 2016 / NNF / 2019 tanggal 16 Mei 2019 setelah dilakukan pemeriksaan terhadap 1 ( satu ) bungkus plastik klip berisikan kristal warna putih dengan berat netto 1 , 9926 gram ( dengan sisa labkrim berat netto 1 , 6264 gram ) dan 4 ( empat ) bungkus plastik klip masing - masing berisikan kristal warna putih dengan berat netto seluruhnya 1 , 6962 gram ( dengan sisa labkrim berat netto 1 , 6264 gram ) , adalah positif Metamphetamina terdaftar dalam Golongan I nomor urut 61 UURI No . 35 tentang Narkotika ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_ARTV I_ARTV I_ARTV O O O O 
"- Bahwa terdakwa dalam menawarkan untuk dijual , menjual , membeli , menerima , menjadi perantara dalam jual beli , menukar , atau menyerahkan Narkotika Golongan I bukan tanaman tersebut tanpa memiliki izin dari Kementerian Kesehatan RI maupun instansi terkait lainnya serta tidak berhubungan dengan profesi terdakwa . Perbuatan terdakwa sebagaimana diatur dan diancam pidana dalam pasal 114 ayat ( 1 ) UU RI No . 35 Tahun 2009 tentang Narkotika ATAU Kedua : ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV O 
"Bahwa ia terdakwa UJANG SELAMET alias KEBO bin HADIYAT , pada hari Minggu 5 Mei 2019 , sekira pukul 17 . 30 WIB atau setidak - tidaknya pada bulan Mei 2019 atau setidak - tidaknya pada waktu - waktu lain pada tahun 2019 , bertempat di Jalan Cilincing Baru No . 24 RT . 1 / 2 Kel . Kalibaru Kec . Cilincing , Jakarta Utara atau setidak - tidaknya di suatu tempat yang masih termasuk dalam daerah hukum Pengadilan Negeri Jakarta Utara , dengan tanpa hak atau melawan hukum memiliki , menyimpan , menguasai , atau menyediakan Narkotika Golongan I bukan tanaman , yang dilakukan terdakwa dengan cara sebagai berikut : ",O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"- Berawal pada hari Minggu tanggal 5 Mei 2019 sekira jam 16 . 30 WIB dari informasi yang didapatkan oleh saksi SAIFUL MUKHIS , SH . , saksi SEPTIAN INDRAWAN dan saksi LEONARDO DAVINSI LASUT yang merupakan anggota Satnarkoba Polres Jakarta Utara yang mana informasi yang didapat menyebutkan maraknya peredaran narkotika yang dilakukan oleh seorang laki - laki berikut ciri - cirinya di sekitar Jalan Cilincing Kec . Cilincing Jakarta Utara ; ",O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O B_DEFN I_DEFN O O B_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Selanjutnya atas informasi tersebut dilakukan penyelidikan di daerah sekitar Jalan Cilincing Baru RT . 1 / 2 Kel . Kalibaru Kec . Cilincing , Jakarta Utara yang kemudian sekira jam 17 . 30 WIB berhasil dilakukan penangkapan terhadap terdakwa UJANG SELAMET alias KEBO di Jalan Cilincing Baru No . 24 RT . 1 / 2 Kel . Kalibaru Kec . Cilincing , Jakarta Utara ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O 
"- Bahwa dari penangkapan tersebut selanjutnya dilakukan penggeledahan yang didapat barang bukti berupa 5 ( lima ) paket plastik klip narkotika jenis kristal putih atau shabu dengan berat brutto 4 , 63 gram yang disimpan dari dalam tempat permen yang dilakban hitam yang disita dari saku celana depan sebelah kiri yang dikenakan oleh terdakwa UJANG SELAMET alias KEBO . Selain barang bukti narkotika kemudian disita barang bukti berupa 1 ( satu ) buah HP merk Polytron berikut simcard dan 1 ( satu ) buah HP merk Xiaomi warna hitam berikut simcard milik terdakwa UJANG SELAMET alias KEBO . Kemudian atas ditemukannya narkotika jenis shabu tersebut kemudian terdakwa dibawa ke Satresnarkotika untuk pemeriksaan lebih lanjut ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O 
"- Bahwa terhadap barang bukti yang ditemukan tersebut berdasarkan Berita Acara Pemeriksaan Laboratoris Kriminalistik No . Lab : 2016 / NNF / 2019 tanggal 16 Mei 2019 setelah dilakukan pemeriksaan terhadap 1 ( satu ) bungkus plastik klip berisikan kristal warna putih dengan berat netto 1 , 9926 gram ( dengan sisa labkrim berat netto 1 , 6264 gram ) dan 4 ( empat ) bungkus plastik klip masing - masing berisikan kristal warna putih dengan berat netto seluruhnya 1 , 6962 gram ( dengan sisa labkrim berat netto 1 , 6264 gram ) , adalah positif Metamphetamina terdaftar dalam Golongan I nomor urut 61 UURI No . 35 tentang Narkotika ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_ARTV I_ARTV I_ARTV O O O O 
"- Bahwa terdakwa dalam memiliki , menyimpan , menguasai , atau menyediakan Narkotika Golongan I bukan tanaman tersebut tanpa memiliki izin dari Kementerian Kesehatan RI maupun instansi terkait lainnya serta tidak berhubungan dengan profesi terdakwa . Perbuatan terdakwa sebagaimana diatur dan diancam pidana dalam pasal 112 ayat ( 1 ) UU RI No . 35 Tahun 2009 tentang Narkotika ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV O 
"Menimbang , bahwa atas surat dakwaan tersebut Terdakwa menyatakan telah mengerti akan isi dakwaan tersebut dan tidak mengajukan eksepsi ; ",O O O O O O O O O O O O O O O O O O O O 
"Menimbang , bahwa untuk membuktikan dakwaannya Penuntut Umum telah mengajukan saksi - saksi sebagai berikut : ",O O O O O O O O O O O O O O O O 
"1 . SEPTIAN INDRAWAN , dibawah sumpah yang pada pokoknya menerangkan sebagai berikut : ",O O B_DEFN I_DEFN I_DEFN O O O O O O O O O 
; ,O 
Bahwa keterangan saksi dalam BAP Penyidik sudah benar adanya ; ,O O O O O O O O O O 
Bahwa saksi dihadapkan dipersidangan ini sebagai saksi dalam tindak pidana narkotika yang di duga dilakukan oleh Terdakwa ; ,O O O O O O O O O O O O O O O O O O 
"Bahwa Terdakwa ditangkap pada hari pada hari Minggu 5 Mei 2019 , sekira pukul 17 . 30 WIB , bertempat di Jalan Cilincing Baru No . 24 RT . 1 / 2 Kel . Kalibaru Kec . Cilincing , Jakarta Utara ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Bahwa saksi melakukan penangkapan terhadap Terdakwa bersama rekan saksi yang bernama Saiful Mukhis , SH . , dan Leonardo Davinsi Lasut ; ",O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O B_DEFN I_DEFN I_DEFN O 
"Bahwa pada saat dilakukan penggeledahan terhadap Terdakwa berhasil disita barang bukti berupa : 5 ( lima ) paket plastik klip narkotika jenis kristal putih atau shabu dengan berat brutto 4 , 63 gram yang disimpan dari dalam tempat permen yang dilakban hitam yang disita dari saku celana depan sebelah kiri yang dikenakan oleh terdakwa dan 1 ( satu ) buah HP merk Polytron berikut simcard dan 1 ( satu ) buah HP merk Xiaomi warna hitam berikut simcard milik terdakwa ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa berdasarkan keterangan terdakwa mendapatkan narkotika jenis sabu itu di dapat dari OM PEI yang telah memberikan 40 gram narkotika jenis shabu dengan sistem laku bayar ; ,O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa dalam menjadi perantara dalam jual beli narkotika golongan I jenis shabu tersebut Terdakwa tidak mendapat ijin dari Departemen Kesehatan Republik Indonesia atau instansi yang berhak lainnya ; ,O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa Terdakwa tidak melakukan perlawanan pada saat dilakukan penangkapan ; ,O O O O O O O O O O 
Terhadap keterangan saksi tersebut Terdakwa memberikan pendapat bahwa keterangan saksi tersebut adalah benar ; ,O O O O O O O O O O O O O O 
"2 . SYAIFUL MUKHLIS , dipersidangan keterangan dibacakan yang pada pokoknya menerangkan sebagai berikut : ",O O B_DEFN I_DEFN I_DEFN O O O O O O O O O O 
"Bahwa Terdakwa ditangkap pada hari pada hari Minggu 5 Mei 2019 , sekira pukul 17 . 30 WIB , bertempat di Jalan Cilincing Baru No . 24 RT . 1 / 2 Kel . Kalibaru Kec . Cilincing , Jakarta Utara ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa saksi melakukan penangkapan terhadap Terdakwa bersama rekan saksi yang bernama Septian Indrawan dan Leonardo Davinsi Lasut ; ,O O O O O O O O O O O B_DEFN I_DEFN O B_DEFN I_DEFN I_DEFN O 
"Bahwa pada saat dilakukan penggeledahan terhadap Terdakwa berhasil disita barang bukti berupa : 5 ( lima ) paket plastik klip narkotika jenis kristal putih atau shabu dengan berat brutto 4 , 63 gram yang disimpan dari dalam tempat permen yang dilakban hitam yang disita dari saku celana depan sebelah kiri yang dikenakan oleh terdakwa dan 1 ( satu ) buah HP merk Polytron berikut simcard dan 1 ( satu ) buah HP merk Xiaomi warna hitam berikut simcard milik terdakwa ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa berdasarkan keterangan terdakwa mendapatkan narkotika jenis sabu itu di dapat dari OM PEI yang telah memberikan 40 gram narkotika jenis shabu dengan sistem laku bayar ; ,O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa dalam menjadi perantara dalam jual beli narkotika golongan I jenis shabu tersebut Terdakwa tidak mendapat ijin dari Departemen Kesehatan Republik Indonesia atau instansi yang berhak lainnya Terhadap keterangan saksi tersebut Terdakwa memberikan pendapat bahwa keterangan saksi tersebut adalah benar ; ,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Menimbang , bahwa Terdakwa dipersidangan telah memberikan keterangan yang pada pokoknya sebagai berikut : ",O O O O O O O O O O O O O O 
Bahwa keterangan Terdakwa dalam BAP Penyidik sudah benar adnaya ; ,O O O O O O O O O O 
Bahwa Terdakwa dihadapkan dipersidangan ini karena Terdakwa telah melakukan tidak pidana narkotika golongan I jenis shabu ; ,O O O O O O O O O O O O O O O O O 
"Bahwa Terdakwa ditangkap pada hari pada hari Minggu 5 Mei 2019 , sekira pukul 17 . 30 WIB , bertempat di Jalan Cilincing Baru No . 24 RT . 1 / 2 Kel . Kalibaru Kec . Cilincing , Jakarta Utara ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa yang melakukan penangkapan terhadap Terdakwa sebanyak 3 ( tiga ) orang ; ,O O O O O O O O O O O O O 
"Bahwa pada saat dilakukan penggeledahan terhadap Terdakwa berhasil disita barang bukti berupa : 5 ( lima ) paket plastik klip narkotika jenis kristal putih atau shabu dengan berat brutto 4 , 63 gram yang disimpan dari dalam tempat permen yang dilakban hitam yang disita dari saku celana depan sebelah kiri yang dikenakan oleh terdakwa dan 1 ( satu ) buah HP merk Polytron berikut simcard dan 1 ( satu ) buah HP merk Xiaomi warna hitam berikut simcard milik terdakwa ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa berdasarkan keterangan terdakwa mendapatkan narkotika jenis sabu itu di dapat dari OM PEI yang telah memberikan 40 gram narkotika jenis shabu dengan sistem laku bayar ; ,O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Bahwa kemudian OM PEI mengantarkan narkotika tersebut sebanyak 12 gram kepada terdakwa lalu menjualnya kepada Muhamad Slamet alias Kentung bin Thopik . Kemudian terdakwa kembali diperintahuntuk mengantarkan narkotika jenis shabu kepada seseorang di Jl . Malpinas Jalan Baru Cilincing Jakarta Utara dan saat itu jatah terdakwa sebanyak 20 gram sudah laku terjual sebanyak 15 gram . Dalam penjualannya terdakwa menjual narkotika jenis shabu dengan harga per gram adalah Rp . 1 . 200 . 0 , - ( satu juta dua ratus ribu rupiah ) dan terdakwa setor kepada OM PEI per gram Rp . 900 . 0 , ( sembilan ratus ribu rupiah ) sehingga terdakwa mendapatkan keuntungan per gram Rp . 300 . 0 , - ( tiga ratus ribu rupiah ) atau untuk 15 gram terdakwa mendapatkan keuntungan sebesar Rp . 4 . 500 . 0 , - ( empat juta lima ratus ribu rupiah ) ; ",O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa dalam menjadi perantara dalam jual beli narkotika golongan I jenis shabu tersebut Terdakwa tidak mendapat ijin dari Departemen Kesehatan Republik Indonesia atau instansi yang berhak lainnya ; ,O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa Terdakwa menyesali perbuatannya ; ,O O O O O 
"Menimbang , bahwa di persidangan Penuntut Umum telah pula mengajukan barang bukti berupa : 5 ( lima ) paket plastik klip berisikan narkotika golongan I jenis sabu dengan berat netto 1 , 6264 gram dan 4 ( empat ) bungkus plastik klip masing - masing berisikan narkotika golongan I jenis sabu dengan berat netto seluruhnya 1 , 6264 gram , 1 ( satu ) Handphone merek Polytron warna putih dan 1 ( satu ) Handphone merek Xiaomi warna hitam , dan atas keberadaan barang bukti tersebut saksi dan Terdakwa membenarkan keberadaannya ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Menimbang , bahwa berdasarkan keterangan para saksi dan keterangan Terdakwa dihubungkan dengan barang bukti yang diajukan dipersidangan , dipandang didalam hubungannya antara satu dengan yang lainnya saling berkaitan atau berhubungan , maka telah terbukti adanya fakta - fakta hukum antara lain sebagai berikut : ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Bahwa Terdakwa ditangkap pada hari pada hari Minggu 5 Mei 2019 , sekira pukul 17 . 30 WIB , bertempat di Jalan Cilincing Baru No . 24 RT . 1 / 2 Kel . Kalibaru Kec . Cilincing , Jakarta Utara ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Bahwa pada saat dilakukan penggeledahan terhadap Terdakwa berhasil disita barang bukti berupa : 5 ( lima ) paket plastik klip narkotika jenis kristal putih atau shabu dengan berat brutto 4 , 63 gram yang disimpan dari dalam tempat permen yang dilakban hitam yang disita dari saku celana depan sebelah kiri yang dikenakan oleh terdakwa dan 1 ( satu ) buah HP merk Polytron berikut simcard dan 1 ( satu ) buah HP merk Xiaomi warna hitam berikut simcard milik terdakwa ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa berdasarkan keterangan terdakwa mendapatkan narkotika jenis sabu itu di dapat dari OM PEI yang telah memberikan 40 gram narkotika jenis shabu dengan sistem laku bayar ; ,O O O O O O O O O O O O O O O O O O O O O O O O O O O 
